geometry,label,episode_index,episode_seed,ok,error,success,end_reason,n_steps_taken,steps_to_success,mean_step_ms,median_step_ms,p95_step_ms,max_step_ms,goal_pos,goal_quat,goal_vel
duck_low_high,8-hull baseline,0,4238863871,True,,False,timeout,300,,100.4571,103.0853,104.9705,106.8262,0.03175349,0.5523439,0.09527581
duck_low_foam4,FOAM 4,0,4238863871,True,,False,timeout,300,,48.5528,48.61637,49.93586,51.45658,0.05155335,0.8107045,0.0005276551
duck_low_foam16a,FOAM 16A,0,4238863871,True,,False,timeout,300,,63.65394,64.26127,66.90847,68.07766,0.03643562,0.5230881,3.010863
duck_low_foam16b,FOAM 16B,0,4238863871,True,,False,failed,165,,53.28122,53.4374,55.68784,56.76615,0.1868927,0.6855617,5.639914
duck_low_foam64,FOAM 64,0,4238863871,True,,False,failed,181,,88.75972,91.44672,103.3204,106.1505,0.2087852,0.6914273,12.36573
duck_low_foam4,FOAM 4,1,813519892,True,,False,timeout,300,,50.06127,50.35335,51.56973,52.09259,0.04930395,0.785462,0.001095313
duck_low_foam16a,FOAM 16A,1,813519892,True,,False,timeout,300,,61.26562,63.2193,65.48634,66.60775,0.05168275,0.7180813,0.004091276
duck_low_foam16b,FOAM 16B,1,813519892,True,,False,timeout,300,,59.24566,59.99915,62.30434,63.802,0.06433027,0.7048209,0.044237
duck_low_foam64,FOAM 64,1,813519892,True,,False,timeout,300,,84.08464,84.72177,92.79278,105.4709,0.04054035,0.6765579,0.004479565
duck_low_high,8-hull baseline,1,813519892,True,,False,timeout,300,,115.5621,130.6919,136.8499,142.3793,0.06759677,0.4022948,2.429319
duck_low_foam16a,FOAM 16A,2,2079297989,True,,False,timeout,300,,59.42899,59.96103,62.06553,62.73124,0.058905,0.5063574,0.06397946
duck_low_foam16b,FOAM 16B,2,2079297989,True,,False,timeout,300,,58.55282,59.04234,62.43743,63.35668,0.03649593,0.5288182,0.08345216
duck_low_foam64,FOAM 64,2,2079297989,True,,False,timeout,300,,105.8793,85.67968,160.2338,166.0462,0.02694033,0.7548779,0.4939507
duck_low_high,8-hull baseline,2,2079297989,True,,False,timeout,300,,92.19474,93.24037,98.58755,102.4903,0.04176905,0.160622,0.5480968
duck_low_foam4,FOAM 4,2,2079297989,True,,False,timeout,300,,51.00273,51.00726,52.2258,53.00332,0.03859766,0.2165463,0.07935793
duck_low_foam16b,FOAM 16B,3,1812275758,True,,False,timeout,300,,61.55423,62.46539,65.24317,65.82559,0.0333398,0.6782853,2.402941
duck_low_foam64,FOAM 64,3,1812275758,True,,False,timeout,300,,101.7089,105.6079,119.6367,127.7843,0.04989734,0.530639,0.003738421
duck_low_high,8-hull baseline,3,1812275758,True,,False,timeout,300,,100.782,102.1245,105.37,106.7484,0.03398572,0.5626993,0.2022095
duck_low_foam4,FOAM 4,3,1812275758,True,,False,timeout,300,,50.71137,50.57603,52.38871,53.02119,0.03981097,0.2800452,0.007137005
duck_low_foam16a,FOAM 16A,3,1812275758,True,,False,timeout,300,,59.55692,59.7798,63.07912,63.59961,0.03902612,0.5361981,0.0009101092
duck_low_foam64,FOAM 64,4,3756040860,True,,False,failed,180,,90.68584,92.51111,108.3864,114.0298,0.19874,0.9999901,8.477416
duck_low_high,8-hull baseline,4,3756040860,True,,False,timeout,300,,95.81301,100.2476,105.8837,107.3136,0.07707421,0.7500804,0.04661798
duck_low_foam4,FOAM 4,4,3756040860,True,,False,timeout,300,,50.22584,50.60261,51.78595,52.59031,0.05043475,0.9376597,0.7807128
duck_low_foam16a,FOAM 16A,4,3756040860,True,,False,failed,34,,51.08765,52.37626,54.68362,54.7891,0.1894814,0.9839517,8.545139
duck_low_foam16b,FOAM 16B,4,3756040860,True,,False,timeout,300,,55.13812,55.35006,57.72028,58.89831,0.03837172,0.7597318,0.1045607
