task,geometry,hand_acc,obj_acc,model,planner,n_episodes,seed,n_samples,time_horizon,step_time,noise_sigma,temperature,w_quat,w_pos_x,w_pos_y,w_pos_z,w_contact,w_joint,w_fallen,w_quat_term,w_pos_term,record_trajectory,record_planner_dist,planner_dist_every,driver,plan_latency_ms,time_constrained
grasp_reorient,cube,high,high,M1,mppi,30,0,256,0.352,0.064,0.1,3.54366,27.7042,1.44077,24.9981,15.3234,0.266601,6.37889,126.11,204.511,229.656,TRUE,TRUE,10,,,
grasp_reorient,cube,high,high,M2,mppi,30,0,256,0.352,0.064,0.1,15.3169,27.7042,1.44077,24.9981,15.3234,0.266601,6.37889,126.11,204.511,229.656,TRUE,TRUE,10,,,
grasp_reorient,cube,high,high,M3,mppi,30,0,256,0.352,0.064,0.1,7.18007,27.7042,1.44077,24.9981,15.3234,0.266601,6.37889,126.11,204.511,229.656,TRUE,TRUE,10,,,
grasp_reorient,cube,high,high,M4,mppi,30,0,256,0.352,0.064,0.1,13.2551,27.7042,1.44077,24.9981,15.3234,0.266601,6.37889,126.11,204.511,229.656,TRUE,TRUE,10,,,
grasp_reorient,ball,high,high,M1,mppi,30,0,256,0.352,0.064,0.1,51.8027,6.56246,3.0966,1.62099,19.5224,1.01878,4.94281,164.733,161.918,196.316,TRUE,TRUE,10,,,
grasp_reorient,ball,high,high,M2,mppi,30,0,256,0.352,0.064,0.1,9.06454,6.56246,3.0966,1.62099,19.5224,1.01878,4.94281,164.733,161.918,196.316,TRUE,TRUE,10,,,
grasp_reorient,ball,high,high,M3,mppi,30,0,256,0.352,0.064,0.1,3.83958,6.56246,3.0966,1.62099,19.5224,1.01878,4.94281,164.733,161.918,196.316,TRUE,TRUE,10,,,
grasp_reorient,ball,high,high,M4,mppi,30,0,256,0.352,0.064,0.1,6.29509,6.56246,3.0966,1.62099,19.5224,1.01878,4.94281,164.733,161.918,196.316,TRUE,TRUE,10,,,
grasp_reorient,duck,high,high,M1,mppi,30,0,256,0.352,0.064,0.1,42.3708,39.8864,5.80868,5.19329,2.35641,0.150822,0.0719379,107.504,133.296,183.531,TRUE,TRUE,10,,,
grasp_reorient,duck,high,high,M2,mppi,30,0,256,0.352,0.064,0.1,1.32905,39.8864,5.80868,5.19329,2.35641,0.150822,0.0719379,107.504,133.296,183.531,TRUE,TRUE,10,,,
grasp_reorient,duck,high,high,M3,mppi,30,0,256,0.352,0.064,0.1,13.5668,39.8864,5.80868,5.19329,2.35641,0.150822,0.0719379,107.504,133.296,183.531,TRUE,TRUE,10,,,
grasp_reorient,duck,high,high,M4,mppi,30,0,256,0.352,0.064,0.1,42.3061,39.8864,5.80868,5.19329,2.35641,0.150822,0.0719379,107.504,133.296,183.531,TRUE,TRUE,10,,,
